"foregroup","Popøedí"
"backgroup","Pozadí"
"hex","hex:"
"pickbtn","Naber barvu"
"resgroup","Výsledek"
"normal","Bìžný zrak"
"protanopia","Protanopie (omezená schopnost vidìt èervenou)"
"deuteranopia","Deuteranopie (omezená schopnost vidìt zelenou)"
"tritanopia","Tritanopie (omezená schopnost vidìt modrou)"
"brightness","rozdíl jasu: "
"colour","rozdíl barvy: "
"brightness_pass","Rozdíl jasu tìchto barev je dostaèující. Minimální hodnota je 125 a výsledek popøedí s pozadím je %result%."
"brightness_fail","Rozdíl jasu tìchto barev není dostaèující. Minimální hodnota je 125 a výsledek popøedí s pozadím je %result%."
"colours_pass","Rozdíl tìchto dvou barev je dostaèující. Minimální hodnota je 500 a výsledek popøedí s pozadím je %result%."
"colours_fail","Rozdíl tìchto dvou barev není dostaèující. Minimální hodnota je 500 a výsledek popøedí s pozadím je %result%."
"fail_but_>_400","Rozdíl tìchto dvou barev není dostaèující. Minimální hodnota je 500 a výsledek popøedí s pozadím je %result%."
"HP_Note","Poznámka: Zatímco rozdíl barev nevyhovuje pravidlùm W3C, nachází se v rozmezí používaném Hewlett Packard. Hewlett Packard doporuèuje minimální hodnotu 400."
"show_result","Ukaž výsledky kontrastu i pro snížený barvocit"
"optgroup","Možnosti"
"stayontop","Vždy na vrchu"
"docurl","http://www.nils.org.au/ais/web/resources/contrast_analyser/index.html"
"help","&Nápovìda"
"colour_select","Vyber barvu:"
"about","&O programu..."
"en_ver","Steven Faulkner (Anglická verze):"
"jp_ver","Jun (Japonská verze):"
"abouttext","Analyzer kontrastu barev byl vyvinut Junem ve spolupráci se Stevem Faulknerem."
"versiontext","Analyzer kontrastu barev Verze 1.0"
"Address_Group","Emaily a internetové adresy"
"translator_name","David Špinar (Èeská verze)"
"translator_site","http://pristupnost.nawebu.cz"
"translator_mail","spinar@gmail.com"
