Id;Stanice;TUDU;Km;GPS
7;Chornice;1911G1;40.5;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.7456994448768,49.6760733328925,'null'),'null','null')
1;Trutnov hl.n.;1401O1;124.8;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.9061605554157,50.567672777772,'null'),'null','null')
8;Meziho¯Ì;191114;43.8;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.7420797220866,49.7032899999619,'null'),'null','null')
9;Nectava;191128;36.9;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.7804597218831,49.6574047221078,'null'),'null','null')
10;äubÌ¯ov;191112;32.4;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.8173749999868,49.6268058331807,'null'),'null','null')
11;JevÌËko;2021B1;6.1;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.7299691666497,49.6323680559794,'null'),'null','null')
12;Biskupice u Jev.;202102;3.6;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.7449427774217,49.6496991666158,'null'),'null','null')
14;MÏsteËko Trn·vka;1911H1;45.8;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.724750000106,49.714437221951,'null'),'null','null')
15;Rozst·nÌ;191116;47.6;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.7302966668871,49.7281947220696,'null'),'null','null')
16;MladÏjov na M.;1911K1;66.4;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.5885072220696,49.8260391669803,'null'),'null','null')
17;Anensk· Stud·nka;191122;70.8;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.5565416664547,49.8545577780406,'null'),'null','null')
18;KunËina;191118;61;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.6379505554835,49.7962866666582,'null'),'null','null')
